KOD,TYPE,FİYAT
4028921,CALDION NIGHT FOR WOMEN,49.45
4065745,IS COOL,75.25
4026099,ICELAND,54.825
4025274,ICELAND TWICE,49.45
4047389,A SCENT BY ASSOS,70.95
4064591,L'EAU DISSEY FLORALE,69.875
4412077,L'EAU D'ISSEY FOR WOMAN,64.5
4293315,L'EAU D'ISSEY PURE,69.875
4346493,L'EAU D'ISSEY PURE NECTAR,66.64999999999999
4088335,PLEATS PLEASE,68.8
4099590,PLEATS PLEASE EAU DE PARFUM 2013,69.875
4278222,CLASSIQUE ESSENCE DE PARFUM,68.8
4137142,CLASSIQUE INTENSE,70.95
4010250,FRAGILE,52.675
4442862,J.P. GAULTIER,64.5
4039574,J.P. GAULTIER MA DAME,66.64999999999999
4297868,SCANDAL,73.1
4052701,DESEO,69.875
4033718,GLOW AFTER DARK BY JLO,51.59999999999999
4023458,LIVE,51.59999999999999
4066831,LOWE & GLAMOUR,66.64999999999999
4021798,MIAMI GLOW,46.225
4055819,FANCY,63.425
4025154,ALOWEEN,52.675
4049673,JIL,67.725
4331469,JIL SANDER NO.4,73.1
4058704,SENSATIONS,48.375
4033128,SPORT FOR WOMEN,50.525
4333277,SUN,62.34999999999999
4065456,JIMMY CHOO,68.8
4085126,BLACKBERRY & BAY,68.8
4096580,NECTARINE BLOSSOM & HONEY,72.02499999999999
4514197,JASMINE SAMBAC & MARIGOLD,74.175
4079798,PARLES MOI D'AMOUR FRAICHE,66.64999999999999
4059099,JOHN VARVATOS,64.5
4022601,JETTE,54.825
4101133,JOOP! BERLIN,82.77499999999999
4046384,JOOP! FEMME,64.5
4015746,JOOP! MUSE,52.675
4078403,LE BAIN,73.1
4078466,THRILL FOR WOMEN,63.425
4361921,MIDNIGHT OUD,69.875
4360820,NOT A PERFUME WOMEN,68.8
4533586,SUNNY SIDE UP,73.1
4100552,GIRLFRIEND,66.64999999999999
4122599,SOMEDAY,69.875
4072106,VIVA LA JUICY,53.75
4062559,10:10 AM IN SICILIA,64.5
4005724,CA SENT BEAU,52.675
4094988,COULEUR KENZO ROSE-PINK,73.1
4285432,FLOWER BY KENZO,64.5
4271474,FLOWER BY KENZO L'ELIXIR,74.175
4025037,FLOWER BY KENZO ORIFLAMEENTAL,61.275
4117174,FLOWER IN THE AIR,73.1
4070389,FLOWER TAG,73.1
4071470,KENZO AMOUR,67.725
4091792,KENZO AMOUR I LOWE YOU,63.425
4053966,KENZO FEMME,72.02499999999999
4081472,KENZO MADLY,68.8
4077556,L'EAU 2 KENZO POUR FEMME,75.25
4010549,L'EAU PAR KENZO,43
4049671,L'EAU PAR KENZO EAU INDIGO FEMME,65.575
4022845,PARFUM D'ETE,51.59999999999999
4021983,SUMMER BY KENZO,51.59999999999999
4488988,WORLD POWER,66.64999999999999
4056450,KIM KARDASHIAN,67.725
4087171,EAU DE LACOSTE,72.02499999999999
4049394,FEMME DE LACOSTE (VOYAGE),80.625
4027147,INSPIRATION,53.75
4038229,LACOSTE DREAM OF PINK,63.425
4060209,LACOSTE JOY OF PINK,64.5
4244040,LACOSTE L.12.12 POUR ELLE ELEGHANA,66.64999999999999
4244039,LACOSTE L.12.12 POUR ELLE NATURAL,66.64999999999999
4244041,LACOSTE L.12.12 POUR ELLE SPARKLING,73.1
4044000,LACOSTE LOWE OF PINK,62.34999999999999
4325473,LACOSTE POUR FEMME,59.125
4279746,LACOSTE TOUCH OF PINK,66.64999999999999
4030506,LACOSTE TOUCH OF SPRING,52.675
4025001,LACOSTE TOUCH OF SUN,54.825
4082826,FAME (BLACK FLUID),73.1
4900371,"SUN, MOON & STARS",38.7
4685625,AMETHYST,66.65
4051298,ENCRE NOIRE POUR ELLE,75.25
4262635,L'AMOUR,64.5
4096567,PERLES DE LALIQUE,69.875
4461599,ROSE ROYALE,73.1
4016258,AROMA FIT,53.75
4026351,AROMATONIC,52.675
4034455,BENGHAL,52.675
4007231,CLIMAT,52.675
4018298,CONNEXION,62.34999999999999
4070597,HYPNOSE,69.875
4047481,HYPNOSE SENSES,72.02499999999999
4142681,LA NUIT TRESOR,67.725
4235483,LA VIE EST BELLE,83.85
4293313,LA VIE EST BELLE FLORALE,72.02499999999999
4038773,LANCOME CYCLADES,59.125
4039741,LANCOME MAGNIFIQUE,77.39999999999999
4189758,MIRACLE,75.25
4037357,MIRANDAEAU LEGERE,60.2
4027902,MIRANDAFOREVER,68.8
4020119,MIRANDASO MAGIC,51.59999999999999
